hidden_layer_sizes,n_hidden_layers,total_hidden_neurons,train_accuracy,test_accuracy,n_iter_,loss_
"(2,)",1,2,0.3392857142857143,0.3157894736842105,311,1.1120943607588174
"(4,)",1,4,0.9732142857142857,0.9473684210526315,2656,0.26276746455006667
"(8,)",1,8,0.9910714285714286,0.9736842105263158,1493,0.0840061895972009
"(16,)",1,16,0.9821428571428571,0.9736842105263158,1194,0.08934901279679938
"(32,)",1,32,0.9821428571428571,0.9736842105263158,928,0.0949648562797334
"(64,)",1,64,0.9821428571428571,0.9736842105263158,663,0.07158148626849481
"(4, 4)",2,8,0.3482142857142857,0.2631578947368421,295,1.104103311408652
"(8, 4)",2,12,0.9821428571428571,0.9736842105263158,1483,0.08764019749934966
"(8, 8)",2,16,0.9821428571428571,0.9736842105263158,1240,0.08213115654641442
"(16, 8)",2,24,0.9821428571428571,0.9736842105263158,625,0.07035759792791625
"(16, 16)",2,32,0.9910714285714286,0.9736842105263158,613,0.06069714551884937
"(32, 16)",2,48,0.9910714285714286,0.9736842105263158,477,0.06792966269709388
"(4, 4, 2)",3,10,0.9732142857142857,0.9736842105263158,2284,0.10581121423297513
"(8, 4, 2)",3,14,0.9821428571428571,0.9736842105263158,1668,0.11426683575003597
"(16, 8, 4)",3,28,0.9732142857142857,0.9736842105263158,610,0.061428416593666484
"(32, 16, 8)",3,56,0.9910714285714286,0.9736842105263158,413,0.055373297078158475
